"Country",1800,1801,1802,1803,1804,1805,1806,1807,1808,1809,1810,1811,1812,1813,1814,1815,1816,1817,1818,1819,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Suriname,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,22.67172683,26.64137044,24.42855968,21.15222717,19.75799041,20.24400469,21.39011837,21.11012936,30.3450535,19.61341391,24.36234151,21.83755099,22.1987254,19.1770309,20.81280736,22.20545532,22.20874539,22.58193248,20.49941763,24.02134583,21.02682468,21.0488122,26.65165299,26.87071507,27.19863617,29.14417858,27.06287647,27.19899002,26.15178126,40.50231918,30.20365219,32.05052264,29.5370224,26.72704363
Sweden,6.343307018,5.446875095,5.28484869,7.122656345,8.147619247,7.655147076,7.053846359,6.774509907,15.64319515,12.5730772,9.613333702,7.002790928,5.011023521,13.01183224,12.38455868,5.205036163,5.695070267,5.268275738,5.685616493,5.882724285,5.355445385,6.322377682,6.058362961,5.527681828,6.141034603,5.633881569,5.994603157,5.847747803,5.633122921,4.073040962,6.835866451,6.381321907,5.95654583,5.895750523,6.00449419,5.733780384,6.096850395,6.673007488,6.300510406,5.766267776,5.721411228,5.737590313,5.654976368,5.319103718,4.948578358,5.442080498,5.377024174,5.148847103,5.105317116,5.371663094,5.09163332,5.457864285,5.487356186,4.951272964,5.059164047,4.846393108,4.884414196,4.954309464,6.646563053,6.586710453,6.515558243,5.922475815,6.13828516,6.610635757,7.444779396,7.311123848,7.986885071,5.895725727,6.384051323,6.050880909,5.957632542,5.727173805,5.619606018,5.38478899,6.746072769,7.03655386,6.909003258,7.090992451,8.258859634,7.652941227,6.772761822,6.628853321,6.015947342,6.13406229,6.281811714,6.597318649,7.635403633,8.012038231,7.226448059,6.866048336,6.844136238,7.14983511,6.951708794,7.072886944,7.092773438,6.504876614,7.876467228,6.421802521,6.356181622,6.62288475,7.232897758,7.955064297,8.45055294,7.946396351,8.57023716,8.551695824,7.785435677,7.841030598,9.113387108,9.399999619,8.484726906,8.321791649,7.131421089,6.683840275,6.938837528,9.312419891,7.790094852,9.977894783,18.17746544,7.911856174,7.633423328,11.97985744,11.55152416,5.319420815,9.578477859,9.482702255,9.244506836,9.44642067,8.499367714,8.69069767,8.725387573,9.609589577,11.22886944,13.64403534,11.13552189,12.10327148,10.9175787,10.37884426,11.77623272,13.14215088,22.72519302,27.44289398,26.35168839,26.77171326,26.40675926,26.04380035,17.74287224,16.64380455,17.18078804,19.48263359,18.27738571,17.02782631,19.17865944,21.85791588,21.49624825,21.2011795,21.55479813,22.25090027,24.0443573,24.28358078,24.43450928,23.70198441,23.37260437,24.35606956,23.38292503,24.59205246,26.47860718,27.73480034,28.34302902,28.71349907,29.5147934,29.8346653,31.94180489,31.06224442,30.06868744,30.56516647,32.34024048,35.66090012,39.10068893,39.87851715,41.02310181,46.09653854,46.35728073,48.61228943,46.71177673,47.59448242,42.13570786,40.91618729,37.90259552,35.80357742,37.95822525,40.97883606,45.87023926,69.4,67.1,63,61,58.7,56.4,56,53.1,52.5,53.6,53.8,52.5,52.3,51.1,49.3,50,52.4,50.4,49.02893111,50.16184671,50.85863473,50.05597067,48.73566342,48.91172118,48.70687972,49.17613569,48.28641151,51.23583493,48.32305436,47.522587,47.48617321
Switzerland,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,3.874069929,4.032879829,4.071489811,3.94017005,3.80133009,3.929559946,3.79350996,3.910039902,4.031330109,4.367760181,5.095389843,4.147029877,2.392450094,2.446010113,2.454799891,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,4.191999912,4.285429955,4.646669865,5.455770016,5.886449814,5.922319889,6.268660069,6.73815012,6.11616993,7.606540203,11.48120022,18.14039993,17.34490013,14.49429989,15.15429974,16.20829964,13.89859962,11.11100006,8.736209869,9.945859909,9.369709969,8.580400467,8.658800125,10.01539993,7.949369907,7.805580139,7.244239807,6.79445982,7.338359833,8.47179985,7.432330132,7.10683012,7.968540192,8.097140312,8.198800087,8.846269608,8.325380325,8.949609756,8.676509857,8.867950439,9.453940392,25.75200081,25.38940048,25.70319939,26.51600075,27.45879936,29.31189919,31.5734005,30.95849991,30.40559959,30.47540092,29.93190002,29.44459915,30.50629997,31.21649933,30.39559937,30.08390045,29.84020042,29.75259972,30.33950043,29.95470047,30.30330086,32.12379837,34.23389816,35.11610031,35.19049835,35.00320053,35.28730011,35.51610184,35.76570129,34.2983017,35.09820175,34.78099823,36.16059875,36.38629913,35.94689941,35.26739883,33.48429871,32.32239914,32.37390137,34.14670181,34.1711998,31.4445152,31.65014102,32.52987515,32.17352957,32.47618211,32.439739,32.43922623,31.73900412,31.96518802,36.99565815,34.42439056,31.55745971,31.95224681
Tajikistan,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,17.1361203,17.54565679,18.11547128,17.31792194,19.14031709,19.07123094,20.24899051,22.91131625,21.62003578,20.33069586,20.17802596,23.61623375,25.86666188,24.28077467,24.72778765,27.67332809,27.47217157,31.90678794,32.65062379,33.77560714,30.87180003,28.81570211,29.16366837,27.64227023,27.95394767,31.03191246
Tanzania,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,14.16344299,17.57987368,16.40978283,16.75379301,15.57589672,13.37637024,12.82848262,11.37124726,12.76056733,12.3242605,12.37690892,13.6092861,15.36367592,17.02299164,18.31367434,17.61802352,17.8298267,18.08369033,19.57877147,19.80470193,19.02977687,19.57691212,18.79176171,17.28856235,17.15079339,16.91065936,16.35038158,17.27781662,17.28415986,17.4411642,18.40208647,19.12025878,18.9926731
Thailand,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,8.983240128,7.960810184,9.055470467,12.40530014,12.16259956,14.88650036,15.38879967,12.51019955,13.27140045,13.0866003,13.27420044,13.81219959,12.06589985,9.58491993,11.9083004,11.99429989,13.25459957,14.6928997,14.71420002,15.49619961,16.03910065,15.89379978,17.5734005,18.77499962,18.47310066,15.92269993,13.24890041,14.23589993,15.64220047,16.08819962,16.58880043,16.92029953,18.73209953,19.05890083,20.20919991,19.54400063,19.3281002,20.5298996,19.49209976,17.46389961,15.13199997,16.53199959,16.55879974,16.95750046,17.83930016,18.76510048,15.95180035,15.33530045,17.76160049,18.51140022,18.21960068,17.96360016,19.34607253,20.82376471,25.71231053,18.28573861,19.33148839,19.5797625,18.73891479,19.99905613,19.22632582,21.72183648,22.0088575,21.11340127,22.25129831,21.64714413,22.19818282,22.29123502,21.37182934,21.49531758,21.29692629,20.55996444,24.88370809,26.76712514,24.51673994,22.86137343
Togo,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,16.89598245,16.84685729,14.59201265,12.64678589,14.78641426,13.19082145,12.69866089,12.38288159,10.5985843,12.76675754,11.90489454,11.90133278,10.85329455,8.421339163,8.883650459,10.56016361,13.25045162,14.73044363,13.693798,12.39098397,14.28908929,15.08878055,18.20599755,19.09750732,20.48533369,21.90137728,22.89083415,22.9029679,16.27167508,18.79553397,16.56452123,23.69281594,21.78690042,25.98130157,26.57549304
Trinidad and Tobago,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,45.34319857,30.86060174,27.87824906,29.98531562,28.79185416,27.28197869,26.48091311,26.7345285,28.16123283,27.41142304,27.25104366,24.82565215,24.0865925,25.2223911,24.56464069,23.45749865,23.34320328,27.9078963,32.66680008,26.77477131,28.19734369,33.39832611,31.5213253,30.40194015,29.73088121,31.57100873,32.76330244,33.89427219,31.07582443,30.70678885,29.50512595,30.49475298,35.08403687,31.14379605,26.93564591,29.38012792
Tunisia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,27.62801911,25.70168829,26.66795237,25.94316828,26.57724338,26.67730431,24.53043004,24.1764323,24.00948904,24.0438669,23.98787192,24.12473801,23.47320869,23.02052685,23.03884383,22.85247154,23.31897432,23.67047804,24.63757618,23.99873266,27.88719749,28.34922988,30.79767649,27.68665268,27.44444602,27.21323636,28.72472414,28.68466025,29.53193399,34.53263185,33.20368519,36.49142365,35.52421407
"Türkiye, Republic of",no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,18.94739914,no data,18.92900085,no data,no data,no data,no data,18.52729988,no data,10.47039986,no data,no data,17.93989944,22.61540031,15.15460014,13.58969975,16.79100037,14.67949963,16.0625,17.32979965,15.79189968,14.14970016,14.18799973,15.33030033,15.57450008,22.89159966,15.73400021,17.48880005,18.8810997,18.97909927,18.94269943,20.09900093,19.01790047,20.48390007,22.68969917,24.75939941,21.93969917,21.79660034,18.97559929,21.96529961,23.34339905,27.80999947,27.60540009,28.33950043,25.46209908,23.99440002,19.19949913,14.88809967,14.11590004,17.98849106,12.08656406,13.31988144,12.87436771,13.75297356,14.06699371,18.23761368,18.58457375,22.00796127,20.47599411,19.38593292,24.4591732,26.43994713,27.86885452,32.74355316,39.4755602,44.03749134,41.01317343,38.42795498,34.55950887,32.1122756,33.56137037,32.89377815,33.69474077,37.22807895,35.47790064,32.81180476,34.13411434,33.70165526,32.6196787,32.46893921,33.80021368,32.61051346,34.29376659,35.51471838,34.67381051,31.28323474,27.33213965,33.18019632
Uganda,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,13.86223441,13.95105092,14.71203301,15.22900174,16.20620732,16.76123431,16.45896429,15.59292651,14.47119313,13.69478998,13.23202148,12.94576773,11.75643739,15.42400024,13.17430948,13.11762115,13.30263148,13.56504512,14.89097851,15.18626441,16.28549468,16.18436632,18.27029685,21.44086863,21.44840577,20.16743006,19.1868361
Ukraine,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,41.29025961,36.894693,40.81762823,37.0858228,25.84889829,35.46476905,36.67646467,37.88232993,38.88146416,41.61810842,44.19396054,44.58674611,43.65821337,47.11290266,48.62327736,49.15013351,45.70031639,48.97239136,48.10953878,44.77389113,43.04349781,40.78534217,41.66998885,41.92148651,41.5029335,45.60015839,40.48763124,65.39396701,74.41591703
United Arab Emirates,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,35.96356426,29.56432354,31.49134362,30.12778769,26.14406311,27.60408892,22.56174342,25.84312583,24.28014531,21.78821085,25.22845813,21.33275715,20.04999371,17.70889289,15.74379662,15.62722667,17.65685982,21.95072814,34.9969774,31.1138753,30.29302159,28.38216217,29.56103705,32.24997508,27.23850828,32.7746456,28.13613073,26.69170757,28.44895315,31.13075601,26.39012436,23.13334561,23.27293235
United Kingdom,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,11.82890034,11.54109955,12.18060017,11.89319992,11.13129997,10.19110012,9.850279808,10.53279972,10.00959969,9.646889687,10.39420033,11.21959972,11.97469997,11.99040031,10.87170029,10.05770016,9.48112011,9.774680138,10.17770004,9.358519554,10.29380035,9.555830002,9.615389824,9.424229622,13.40769958,14.42039967,11.31159973,10.1814003,10.04759979,10.17660046,10.46090031,9.693599701,9.274740219,8.535550117,8.027750015,7.598889828,7.448609829,8.112529755,8.460069656,7.415689945,7.029280186,6.800879955,6.311900139,6.334350109,6.32543993,6.630660057,6.858290195,7.245369911,7.655499935,7.837510109,6.21434021,6.816689968,7.001609802,6.494299889,6.876460075,7.508140087,7.328989983,6.870049953,6.800310135,6.812029839,6.802619934,6.862040043,6.882180214,7.25865984,7.036260128,7.303679943,7.217100143,7.456840038,7.283420086,8.211429596,10.7748003,10.72659969,10.47469997,8.431050301,7.969079971,7.592979908,7.342870235,7.18076992,7.324230194,7.802090168,8.18225956,8.049010277,8.340889931,8.169070244,24.58009911,42.27740097,68.41750336,66.15650177,52.50630188,32.07970047,20.96150017,22.43020058,19.50580025,18.95070076,18.58959961,18.10630035,19.3920002,18.21010017,17.79949951,17.80890083,18.66609955,20.45219994,21.3404007,19.56970024,18.75860023,18.9557991,19.43849945,18.52910042,19.46839905,20.31209946,28.37960052,50.52939987,56.63040161,62.24860001,62.93939972,66.8993988,60.76610184,50.49240112,36.65539932,32.60250092,33.15330124,28.75760078,32.87369919,32.64229965,34.47389984,28.61809921,31.01959991,32.61940002,33.84389877,32.61539841,33.13619995,31.48340034,33.78570175,37.42219925,32.78699875,34.56949997,35.72579956,40.07360077,40.34339905,39.21500015,42.00149918,41.1969986,42.27679825,43.51079941,47.77840042,49.07759857,49.21369934,46.76490021,46.16320038,45.13790131,47.63439941,51.1957016,50.75009918,50.3791008,50.27420044,48.6969986,44.63970184,42.66730118,40.27119827,39.67819977,41.10829926,42.74819946,45.00490189,45.04370117,44.41579819,43.90230179,42.27709961,40.51369858,39.46879959,38.87549973,36.76210022,40.16540146,41.10219955,42.12120056,42.95849991,44.09220123,44.17860031,43.88349915,47.83110046,51.45880127,50.56269836,43.51084753,43.5572426,41.84485907,41.18734141,40.42686194,39.63422196,39.15692909,38.87234331,38.7343599,49.9564057,45.85656778,44.06228873,44.17159523
