Entity,Year,Immigrants to Australia: Where did they move from?
Saint Vincent and the Grenadines,1995,55
Saint Vincent and the Grenadines,2000,80
Saint Vincent and the Grenadines,2005,88
Saint Vincent and the Grenadines,2010,56
Saint Vincent and the Grenadines,2015,70
Saint Vincent and the Grenadines,2020,68
Saint Vincent and the Grenadines,2024,57
Samoa,1990,7863
Samoa,1995,10039
Samoa,2000,13171
Samoa,2005,16595
Samoa,2010,20554
Samoa,2015,27802
Samoa,2020,33647
Samoa,2024,38964
Saudi Arabia,1990,599
Saudi Arabia,1995,965
Saudi Arabia,2000,1525
Saudi Arabia,2005,2969
Saudi Arabia,2010,12383
Saudi Arabia,2015,14386
Saudi Arabia,2020,14974
Saudi Arabia,2024,14397
Senegal,1990,156
Senegal,1995,191
Senegal,2000,235
Senegal,2005,272
Senegal,2010,370
Senegal,2015,437
Senegal,2020,467
Senegal,2024,509
Serbia,1990,57213
Serbia,1995,50798
Serbia,2000,52020
Serbia,2005,39229
Serbia,2010,35147
Serbia,2015,33796
Serbia,2020,31787
Serbia,2024,28629
Seychelles,1990,2894
Seychelles,1995,2918
Seychelles,2000,2774
Seychelles,2005,2895
Seychelles,2010,2977
Seychelles,2015,3025
Seychelles,2020,2831
Seychelles,2024,2623
Sierra Leone,1990,97
Sierra Leone,1995,158
Sierra Leone,2000,260
Sierra Leone,2005,1490
Sierra Leone,2010,3265
Sierra Leone,2015,3989
Sierra Leone,2020,4094
Sierra Leone,2024,4218
Singapore,1990,24824
Singapore,1995,29696
Singapore,2000,34354
Singapore,2005,43009
Singapore,2010,53631
Singapore,2015,59325
Singapore,2020,64938
Singapore,2024,68087
Slovakia,1990,5576
Slovakia,1995,5741
Slovakia,2000,6360
Slovakia,2005,6055
Slovakia,2010,5998
Slovakia,2015,6701
Slovakia,2020,6999
Slovakia,2024,6753
Slovenia,1990,10038
Slovenia,1995,9611
Slovenia,2000,8622
Slovenia,2005,8786
Slovenia,2010,8382
Slovenia,2015,8068
Slovenia,2020,6627
Slovenia,2024,5483
Solomon Islands,1990,1067
Solomon Islands,1995,1255
Solomon Islands,2000,1395
Solomon Islands,2005,1640
Solomon Islands,2010,1944
Solomon Islands,2015,2295
Solomon Islands,2020,2886
Solomon Islands,2024,7161
Somalia,1990,1273
Somalia,1995,1768
Somalia,2000,3767
Somalia,2005,4504
Somalia,2010,6155
Somalia,2015,8686
Somalia,2020,9268
Somalia,2024,9578
South Africa,1990,46167
South Africa,1995,59022
South Africa,2000,80607
South Africa,2005,114035
South Africa,2010,156200
South Africa,2015,177482
South Africa,2020,199994
South Africa,2024,213447
South America,1990,60081
South America,1995,65001
South America,2000,67658
South America,2005,76012
South America,2010,98368
South America,2015,126023
South America,2020,181452
South America,2024,229408
South Korea,1990,21362
South Korea,1995,29158
South Korea,2000,36381
South Korea,2005,51162
South Korea,2010,83946
South Korea,2015,106655
South Korea,2020,111668
South Korea,2024,114174
South Sudan,1990,0
South Sudan,1995,0
South Sudan,2000,0
South Sudan,2005,0
South Sudan,2010,648
South Sudan,2015,7511
South Sudan,2020,9004
South Sudan,2024,9693
Spain,1990,14752
Spain,1995,14782
Spain,2000,14182
Spain,2005,14329
Spain,2010,14921
Spain,2015,17736
Spain,2020,19333
Spain,2024,19279
Sri Lanka,1990,42523
Sri Lanka,1995,51943
Sri Lanka,2000,58427
Sri Lanka,2005,70602
Sri Lanka,2010,96257
Sri Lanka,2015,119760
Sri Lanka,2020,140771
Sri Lanka,2024,156876
Sudan,1990,1375
Sudan,1995,2214
Sudan,2000,4204
Sudan,2005,17942
Sudan,2010,24613
Sudan,2015,19698
Sudan,2020,18588
Sudan,2024,17709
Suriname,1990,67
Suriname,1995,79
Suriname,2000,87
Suriname,2005,102
Suriname,2010,120
Suriname,2015,165
Suriname,2020,160
Suriname,2024,156
Sweden,1990,5265
Sweden,1995,6156
Sweden,2000,7099
Sweden,2005,8566
Sweden,2010,10039
Sweden,2015,11485
Sweden,2020,11728
Sweden,2024,11508
Switzerland,1990,9845
Switzerland,1995,10748
Switzerland,2000,12063
Switzerland,2005,13100
Switzerland,2010,14059
Switzerland,2015,14177
Switzerland,2020,13924
Switzerland,2024,13265
Syria,1990,5630
Syria,1995,6443
Syria,2000,7350
Syria,2005,8269
Syria,2010,9358
Syria,2015,13864
Syria,2020,31180
Syria,2024,37008
Taiwan,1990,14440
Taiwan,1995,17876
Taiwan,2000,22681
Taiwan,2005,25888
Taiwan,2010,31501
Taiwan,2015,52135
Taiwan,2020,55039
Taiwan,2024,61011
Tajikistan,1990,19
Tajikistan,1995,29
Tajikistan,2000,48
Tajikistan,2005,65
Tajikistan,2010,100
Tajikistan,2015,158
Tajikistan,2020,208
Tajikistan,2024,241
Tanzania,1990,1358
Tanzania,1995,1723
Tanzania,2000,1958
Tanzania,2005,2328
Tanzania,2010,3820
Tanzania,2015,4495
Tanzania,2020,4885
Tanzania,2024,4926
Thailand,1990,13659
Thailand,1995,18987
Thailand,2000,23113
Thailand,2005,31615
Thailand,2010,51298
Thailand,2015,66376
Thailand,2020,88230
Thailand,2024,109845
Togo,1990,3
Togo,1995,5
Togo,2000,20
Togo,2005,32
Togo,2010,278
Togo,2015,370
Togo,2020,347
Togo,2024,351
Tokelau,1990,131
Tokelau,1995,188
Tokelau,2000,277
Tokelau,2005,423
Tokelau,2010,570
Tokelau,2015,668
Tokelau,2020,610
Tokelau,2024,588
Tonga,1990,7089
Tonga,1995,7731
Tonga,2000,8114
Tonga,2005,8716
Tonga,2010,10092
Tonga,2015,11862
Tonga,2020,15295
Tonga,2024,19464
Trinidad and Tobago,1990,1220
Trinidad and Tobago,1995,1324
Trinidad and Tobago,2000,1413
Trinidad and Tobago,2005,1558
Trinidad and Tobago,2010,1693
Trinidad and Tobago,2015,1905
Trinidad and Tobago,2020,1850
Trinidad and Tobago,2024,1830
Tunisia,1990,461
Tunisia,1995,493
Tunisia,2000,497
Tunisia,2005,542
Tunisia,2010,572
Tunisia,2015,658
Tunisia,2020,762
Tunisia,2024,788
Turkey,1990,29111
Turkey,1995,31349
Turkey,2000,34021
Turkey,2005,37467
Turkey,2010,39756
Turkey,2015,39817
Turkey,2020,42286
Turkey,2024,42544
Turkmenistan,1990,6
Turkmenistan,1995,10
Turkmenistan,2000,30
Turkmenistan,2005,60
Turkmenistan,2010,88
Turkmenistan,2015,102
Turkmenistan,2020,135
Turkmenistan,2024,153
Tuvalu,1990,70
Tuvalu,1995,83
Tuvalu,2000,117
Tuvalu,2005,140
Tuvalu,2010,147
Tuvalu,2015,195
Tuvalu,2020,245
Tuvalu,2024,290
Uganda,1990,995
Uganda,1995,1295
Uganda,2000,1407
Uganda,2005,1864
Uganda,2010,2859
Uganda,2015,3800
Uganda,2020,4582
Uganda,2024,5079
Ukraine,1990,17544
Ukraine,1995,17194
Ukraine,2000,17041
Ukraine,2005,16828
Ukraine,2010,16347
Ukraine,2015,17064
Ukraine,2020,17109
Ukraine,2024,20391
United Arab Emirates,1990,545
United Arab Emirates,1995,882
United Arab Emirates,2000,1393
United Arab Emirates,2005,2818
United Arab Emirates,2010,5215
United Arab Emirates,2015,8122
United Arab Emirates,2020,13588
United Arab Emirates,2024,17673
United Kingdom,1990,1119737
United Kingdom,1995,1154167
United Kingdom,2000,1128760
United Kingdom,2005,1118630
United Kingdom,2010,1185773
United Kingdom,2015,1206060
United Kingdom,2020,1171185
United Kingdom,2024,1107102
United States,1990,48950
United States,1995,54904
United States,2000,59703
United States,2005,70697
United States,2010,85523
United States,2015,104434
United States,2020,112841
United States,2024,114202
Uruguay,1990,11124
Uruguay,1995,11053
Uruguay,2000,10563
Uruguay,2005,10804
Uruguay,2010,10621
Uruguay,2015,10589
Uruguay,2020,10470
Uruguay,2024,9951
Uzbekistan,1990,193
Uzbekistan,1995,305
Uzbekistan,2000,492
Uzbekistan,2005,777
Uzbekistan,2010,1303
Uzbekistan,2015,1838
Uzbekistan,2020,2292
Uzbekistan,2024,2546
Vanuatu,1990,921
Vanuatu,1995,1002
Vanuatu,2000,1057
Vanuatu,2005,1183
Vanuatu,2010,1283
Vanuatu,2015,1390
Vanuatu,2020,3750
Vanuatu,2024,10208
Venezuela,1990,501
Venezuela,1995,796
Venezuela,2000,1181
Venezuela,2005,1595
Venezuela,2010,3324
Venezuela,2015,5771
Venezuela,2020,7349
Venezuela,2024,8402
Vietnam,1990,121046
Vietnam,1995,150852
Vietnam,2000,163672
Vietnam,2005,174625
Vietnam,2010,203426
Vietnam,2015,235732
Vietnam,2020,273771
Vietnam,2024,294435
Yemen,1990,203
Yemen,1995,263
Yemen,2000,390
Yemen,2005,520
Yemen,2010,595
Yemen,2015,715
Yemen,2020,1011
Yemen,2024,1189
Zambia,1990,2262
Zambia,1995,2855
Zambia,2000,3428
Zambia,2005,4548
Zambia,2010,6165
Zambia,2015,7323
Zambia,2020,7609
Zambia,2024,8060
Zimbabwe,1990,6744
Zimbabwe,1995,9840
Zimbabwe,2000,12139
Zimbabwe,2005,21657
Zimbabwe,2010,33653
Zimbabwe,2015,40243
Zimbabwe,2020,44036
Zimbabwe,2024,47195
